time,ID,NumSatellites
0,GPS,0
10,GPS,
11,GPS,0
12.4,GPS,0
14,GPS,0
14.1,GPS,0
16,GPS,
17.1,GPS,0
17.5,GPS,0
18.3,GPS,0
18.5,GPS,0
19.2,GPS,0
19.3,GPS,0
19.4,GPS,
20.0,GPS,0
20.4,GPS,0
20.7,GPS,
20.9,GPS,0
21.2,GPS,
22.2,GPS,0
22.3,GPS,
22.4,GPS,4
22.5,GNSS,4
22.6,GNSS,4
22.8,GPS,0
22.9,GPS,12
23.1,GPS,4
23.2,GNSS,4
23.4,GNSS,4
23.5,GPS,0
23.7,GPS,12
23.8,GPS,5
23.9,GNSS,5
24.1,GNSS,4
24.2,GPS,0
24.3,GPS,12
24.4,GPS,5
24.6,GNSS,5
24.7,GNSS,4
24.9,GPS,0
25.1,GPS,12
25.2,GPS,5
25.6,GNSS,5
25.9,GNSS,4
26.0,GPS,0
26.1,GPS,12
26.2,GPS,5
26.3,GNSS,5
26.4,GNSS,4
